survey,survey_year,drivetrain,segment_dimension,segment_value,parameter,category,value,unit,base_n,page,value_source,note
ownership,2023,BEV,all,all,trip_frequency_full_commute,few_times_per_week,15,percent,5744,p.10 / PDF 19,figure,
ownership,2023,BEV,all,all,trip_frequency_full_commute,about_once_per_week,4,percent,5744,p.10 / PDF 19,figure,
ownership,2023,BEV,all,all,trip_frequency_full_commute,few_times_per_month_or_less,8,percent,5744,p.10 / PDF 19,figure,
ownership,2023,BEV,all,all,trip_frequency_full_commute,never,14,percent,5744,p.10 / PDF 19,figure,
ownership,2023,BEV,all,all,trip_frequency_partial_commute,daily_or_almost_daily,24,percent,4974,p.11 / PDF 20,figure,Fig 12
ownership,2023,BEV,all,all,trip_frequency_partial_commute,few_times_per_week,10,percent,4974,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_partial_commute,about_once_per_week,4,percent,4974,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_partial_commute,few_times_per_month_or_less,8,percent,4974,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_partial_commute,never,55,percent,4974,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_local_errands,daily_or_almost_daily,59,percent,6441,p.11 / PDF 20,figure,Fig 13
ownership,2023,BEV,all,all,trip_frequency_local_errands,few_times_per_week,30,percent,6441,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_local_errands,about_once_per_week,6,percent,6441,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_local_errands,few_times_per_month_or_less,4,percent,6441,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_local_errands,never,0.6,percent,6441,p.11 / PDF 20,figure,
ownership,2023,BEV,all,all,trip_frequency_long_trips_gt50mi,daily_or_almost_daily,11,percent,6374,p.12 / PDF 21,figure,Fig 14
ownership,2023,BEV,all,all,trip_frequency_long_trips_gt50mi,few_times_per_week,8,percent,6374,p.12 / PDF 21,figure,
ownership,2023,BEV,all,all,trip_frequency_long_trips_gt50mi,about_once_per_week,13,percent,6374,p.12 / PDF 21,figure,
ownership,2023,BEV,all,all,trip_frequency_long_trips_gt50mi,few_times_per_month_or_less,59,percent,6374,p.12 / PDF 21,figure,
ownership,2023,BEV,all,all,trip_frequency_long_trips_gt50mi,never,8,percent,6374,p.12 / PDF 21,figure,
ownership,2023,BEV,all,all,trip_frequency_ridehail,daily_or_almost_daily,9,percent,5442,p.12 / PDF 21,figure,Fig 15
ownership,2023,BEV,all,all,trip_frequency_ridehail,few_times_per_week,2,percent,5442,p.12 / PDF 21,figure,
ownership,2023,BEV,all,all,trip_frequency_ridehail,about_once_per_week,0.7,percent,5442,p.12 / PDF 21,figure,
ownership,2023,BEV,all,all,trip_frequency_ridehail,few_times_per_month_or_less,3,percent,5442,p.12 / PDF 21,figure,
ownership,2023,BEV,all,all,trip_frequency_ridehail,never,85,percent,5442,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_full_commute,daily_or_almost_daily,55,percent,5744,p.10 / PDF 19,figure,Fig 11
ownership,2023,PHEV,all,all,trip_frequency_full_commute,few_times_per_week,16,percent,5744,p.10 / PDF 19,figure,
ownership,2023,PHEV,all,all,trip_frequency_full_commute,about_once_per_week,4,percent,5744,p.10 / PDF 19,figure,
ownership,2023,PHEV,all,all,trip_frequency_full_commute,few_times_per_month_or_less,8,percent,5744,p.10 / PDF 19,figure,
ownership,2023,PHEV,all,all,trip_frequency_full_commute,never,17,percent,5744,p.10 / PDF 19,figure,
ownership,2023,PHEV,all,all,trip_frequency_partial_commute,daily_or_almost_daily,16,percent,4974,p.11 / PDF 20,figure,Fig 12
ownership,2023,PHEV,all,all,trip_frequency_partial_commute,few_times_per_week,10,percent,4974,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_partial_commute,about_once_per_week,4,percent,4974,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_partial_commute,few_times_per_month_or_less,7,percent,4974,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_partial_commute,never,63,percent,4974,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_local_errands,daily_or_almost_daily,57,percent,6441,p.11 / PDF 20,figure,Fig 13
ownership,2023,PHEV,all,all,trip_frequency_local_errands,few_times_per_week,33,percent,6441,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_local_errands,about_once_per_week,5,percent,6441,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_local_errands,few_times_per_month_or_less,4,percent,6441,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_local_errands,never,1,percent,6441,p.11 / PDF 20,figure,
ownership,2023,PHEV,all,all,trip_frequency_long_trips_gt50mi,daily_or_almost_daily,6,percent,6374,p.12 / PDF 21,figure,Fig 14
ownership,2023,PHEV,all,all,trip_frequency_long_trips_gt50mi,few_times_per_week,7,percent,6374,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_long_trips_gt50mi,about_once_per_week,12,percent,6374,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_long_trips_gt50mi,few_times_per_month_or_less,67,percent,6374,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_long_trips_gt50mi,never,9,percent,6374,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_ridehail,daily_or_almost_daily,2,percent,5442,p.12 / PDF 21,figure,Fig 15
ownership,2023,PHEV,all,all,trip_frequency_ridehail,few_times_per_week,0.4,percent,5442,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_ridehail,about_once_per_week,0.2,percent,5442,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_ridehail,few_times_per_month_or_less,3,percent,5442,p.12 / PDF 21,figure,
ownership,2023,PHEV,all,all,trip_frequency_ridehail,never,95,percent,5442,p.12 / PDF 21,figure,
ownership,2023,All,all,all,workplace_charging_access,yes_free,11,percent,5482,p.18 / PDF 27,figure,Fig 22; no BEV/PHEV difference
ownership,2023,All,all,all,workplace_charging_access,yes_paid,12,percent,5482,p.18 / PDF 27,figure,
ownership,2023,All,all,all,workplace_charging_access,no,72,percent,5482,p.18 / PDF 27,figure,
ownership,2023,All,all,all,workplace_charging_access,dont_know,5,percent,5482,p.18 / PDF 27,figure,
ownership,2023,All,all,all,workplace_charging_access_any,yes,22,percent,5482,p.18 / PDF 27,text,
ownership,2023,BEV,all,all,workplace_charging_use_any_given_access,not_never,69,percent,1212,p.18 / PDF 27,text,
ownership,2023,PHEV,all,all,workplace_charging_use_any_given_access,not_never,74,percent,1212,p.18 / PDF 27,text,
ownership,2023,BEV,all,all,charging_frequency_home,daily_or_almost_daily,37,percent,6491,p.19 / PDF 28,figure,Fig 23
ownership,2023,BEV,all,all,charging_frequency_home,few_times_per_week,27,percent,6491,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_home,about_once_per_week,16,percent,6491,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_home,few_times_per_month_or_less,7,percent,6491,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_home,never,14,percent,6491,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_home,daily_or_almost_daily,56,percent,6491,p.19 / PDF 28,figure,Fig 23
ownership,2023,PHEV,all,all,charging_frequency_home,few_times_per_week,15,percent,6491,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_home,about_once_per_week,6,percent,6491,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_home,few_times_per_month_or_less,9,percent,6491,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_home,never,15,percent,6491,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_workplace_onsite,daily_or_almost_daily,12,percent,1212,p.19 / PDF 28,figure,Fig 23; base = those with workplace access
ownership,2023,BEV,all,all,charging_frequency_workplace_onsite,few_times_per_week,20,percent,1212,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_workplace_onsite,about_once_per_week,14,percent,1212,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_workplace_onsite,few_times_per_month_or_less,23,percent,1212,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_workplace_onsite,never,31,percent,1212,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_workplace_onsite,daily_or_almost_daily,23,percent,1212,p.19 / PDF 28,figure,Fig 23
ownership,2023,PHEV,all,all,charging_frequency_workplace_onsite,few_times_per_week,18,percent,1212,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_workplace_onsite,about_once_per_week,10,percent,1212,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_workplace_onsite,few_times_per_month_or_less,24,percent,1212,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_workplace_onsite,never,26,percent,1212,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_near_work_offsite,daily_or_almost_daily,4.4,percent,4753,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,BEV,all,all,charging_frequency_near_work_offsite,few_times_per_week,3.5,percent,4753,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,BEV,all,all,charging_frequency_near_work_offsite,about_once_per_week,2.9,percent,4753,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,BEV,all,all,charging_frequency_near_work_offsite,few_times_per_month_or_less,4.8,percent,4753,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,BEV,all,all,charging_frequency_near_work_offsite,never,84,percent,4753,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_near_work_offsite,daily_or_almost_daily,3.4,percent,4753,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_near_work_offsite,few_times_per_week,1.9,percent,4753,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_near_work_offsite,about_once_per_week,1.8,percent,4753,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_near_work_offsite,few_times_per_month_or_less,6,percent,4753,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_near_work_offsite,never,87,percent,4753,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_public,daily_or_almost_daily,6,percent,6429,p.19 / PDF 28,figure,Fig 23
ownership,2023,BEV,all,all,charging_frequency_public,few_times_per_week,7,percent,6429,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_public,about_once_per_week,9,percent,6429,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_public,few_times_per_month_or_less,55,percent,6429,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_public,never,23,percent,6429,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_public,daily_or_almost_daily,1.0,percent,6429,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_public,few_times_per_week,2.4,percent,6429,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_public,about_once_per_week,5,percent,6429,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_public,few_times_per_month_or_less,31,percent,6429,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_public,never,60,percent,6429,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_other,daily_or_almost_daily,4.0,percent,5672,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,BEV,all,all,charging_frequency_other,few_times_per_week,3.5,percent,5672,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,BEV,all,all,charging_frequency_other,about_once_per_week,2.7,percent,5672,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,BEV,all,all,charging_frequency_other,few_times_per_month_or_less,15,percent,5672,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,charging_frequency_other,never,75,percent,5672,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_other,daily_or_almost_daily,0.6,percent,5672,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_other,few_times_per_week,1.1,percent,5672,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_other,about_once_per_week,1.1,percent,5672,p.19 / PDF 28,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2023,PHEV,all,all,charging_frequency_other,few_times_per_month_or_less,9,percent,5672,p.19 / PDF 28,figure,
ownership,2023,PHEV,all,all,charging_frequency_other,never,88,percent,5672,p.19 / PDF 28,figure,
ownership,2023,BEV,all,all,public_charging_any_use,not_never,77,percent,6429,p.19 / PDF 28,text,
ownership,2023,PHEV,all,all,public_charging_any_use,not_never,40,percent,6429,p.19 / PDF 28,text,
ownership,2023,BEV,all,all,home_charging_few_per_week_or_more,daily_or_few_per_week,64,percent,6491,p.19 / PDF 28,text,
ownership,2023,BEV,all,all,home_charging_method,level2_240v_station,59,percent_multiselect,5470,p.20 / PDF 29,figure,Fig 24; multi-select
ownership,2023,BEV,all,all,home_charging_method,outlet_240v_direct,26,percent_multiselect,5470,p.20 / PDF 29,figure,
ownership,2023,BEV,all,all,home_charging_method,level1_120v_station,8,percent_multiselect,5470,p.20 / PDF 29,figure,
ownership,2023,BEV,all,all,home_charging_method,outlet_120v_direct,15,percent_multiselect,5470,p.20 / PDF 29,figure,
ownership,2023,PHEV,all,all,home_charging_method,level2_240v_station,25,percent_multiselect,5470,p.20 / PDF 29,figure,Fig 24; multi-select
ownership,2023,PHEV,all,all,home_charging_method,outlet_240v_direct,11,percent_multiselect,5470,p.20 / PDF 29,figure,
ownership,2023,PHEV,all,all,home_charging_method,level1_120v_station,8,percent_multiselect,5470,p.20 / PDF 29,figure,
ownership,2023,PHEV,all,all,home_charging_method,outlet_120v_direct,64,percent_multiselect,5470,p.20 / PDF 29,figure,
ownership,2022,BEV,all,all,charging_frequency_home,daily_or_almost_daily,38,percent,,ES-2 / PDF 9,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
ownership,2022,PHEV,all,all,charging_frequency_home,daily_or_almost_daily,67,percent,,ES-2 / PDF 9,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
ownership,2022,BEV,all,all,home_charging_few_per_week_or_more,daily_or_few_per_week,66,percent,,p.19 / PDF 28,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
ownership,2022,BEV,all,all,public_charging_any_use,not_never,78,percent,,p.19 / PDF 28,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
ownership,2022,PHEV,all,all,public_charging_any_use,not_never,46,percent,,p.19 / PDF 28,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
ownership,2022,BEV,all,all,total_miles_since_acquisition_mean,mean,12248,miles,,p.9 / PDF 18,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
ownership,2022,PHEV,all,all,total_miles_since_acquisition_mean,mean,12080,miles,,p.9 / PDF 18,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
ownership,2022,All,all,all,technology_share,BEV,73,percent,,p.3 / PDF 12,text,value for 2022 vehicles quoted in 2023 Ownership report (2022 report not in repo)
adoption,2025,All,all,all,invited_participants,count,38300,count,,p.1 / PDF 9,text,
adoption,2025,All,all,all,valid_responses,count,4361,count,,p.1 / PDF 9,text,
adoption,2025,All,all,all,population_represented,count,38177,count,,p.2 / PDF 10,table,Table 1
adoption,2025,All,all,all,technology_share,BEV,76,percent,4361,p.3 / PDF 11,text,
adoption,2025,All,all,all,technology_share,PHEV,24,percent,4361,p.3 / PDF 11,text,
adoption,2025,All,all,all,home_charging_status,yes,82,percent,4331,p.14 / PDF 22,figure,"Fig 15; no significant BEV/PHEV difference, so only All published; 'yes' includes current home charging 1-3 weeks after purchase"
adoption,2025,All,all,all,home_charging_status,no_but_planning,9,percent,4331,p.14 / PDF 22,figure,
adoption,2025,All,all,all,home_charging_status,no_no_plans,9,percent,4331,p.14 / PDF 22,figure,
adoption,2025,BEV,all,all,workplace_charging_access,yes,35,percent,3030,p.14 / PDF 22,figure,Fig 16; question allows 'Not applicable' (excluded); not comparable with ownership-survey wording
adoption,2025,BEV,all,all,workplace_charging_access,no,58,percent,3030,p.14 / PDF 22,figure,
adoption,2025,BEV,all,all,workplace_charging_access,dont_know,6,percent,3030,p.14 / PDF 22,figure,
adoption,2025,PHEV,all,all,workplace_charging_access,yes,28,percent,3030,p.14 / PDF 22,figure,Fig 16; question allows 'Not applicable' (excluded); not comparable with ownership-survey wording
adoption,2025,PHEV,all,all,workplace_charging_access,no,63,percent,3030,p.14 / PDF 22,figure,
adoption,2025,PHEV,all,all,workplace_charging_access,dont_know,9,percent,3030,p.14 / PDF 22,figure,
adoption,2025,BEV,all,all,near_workplace_charging_access,yes,61,percent,3071,p.14 / PDF 22,figure,Fig 16
adoption,2025,BEV,all,all,near_workplace_charging_access,no,24,percent,3071,p.14 / PDF 22,figure,
adoption,2025,BEV,all,all,near_workplace_charging_access,dont_know,15,percent,3071,p.14 / PDF 22,figure,
adoption,2025,PHEV,all,all,near_workplace_charging_access,yes,34,percent,3071,p.14 / PDF 22,figure,Fig 16
adoption,2025,PHEV,all,all,near_workplace_charging_access,no,37,percent,3071,p.14 / PDF 22,figure,
adoption,2025,PHEV,all,all,near_workplace_charging_access,dont_know,29,percent,3071,p.14 / PDF 22,figure,
adoption,2025,BEV,all,all,home_charging_method_current_or_planned,level2_240v_station,62,percent_multiselect,3965,p.15 / PDF 23,figure,Fig 17; multi-select; base = charge or plan to charge at home
adoption,2025,BEV,all,all,home_charging_method_current_or_planned,outlet_240v_direct,21,percent_multiselect,3965,p.15 / PDF 23,figure,
adoption,2025,BEV,all,all,home_charging_method_current_or_planned,level1_120v_station,7,percent_multiselect,3965,p.15 / PDF 23,figure,
adoption,2025,BEV,all,all,home_charging_method_current_or_planned,outlet_120v_direct,22,percent_multiselect,3965,p.15 / PDF 23,figure,
adoption,2025,PHEV,all,all,home_charging_method_current_or_planned,level2_240v_station,23,percent_multiselect,3965,p.15 / PDF 23,figure,Fig 17; multi-select
adoption,2025,PHEV,all,all,home_charging_method_current_or_planned,outlet_240v_direct,9,percent_multiselect,3965,p.15 / PDF 23,figure,
adoption,2025,PHEV,all,all,home_charging_method_current_or_planned,level1_120v_station,8,percent_multiselect,3965,p.15 / PDF 23,figure,
adoption,2025,PHEV,all,all,home_charging_method_current_or_planned,outlet_120v_direct,70,percent_multiselect,3965,p.15 / PDF 23,figure,
adoption,2025,All,all,all,tenure,own,84,percent,4254,p.15 / PDF 23,figure,Fig 18; no BEV/PHEV difference
adoption,2025,All,all,all,tenure,rent,13,percent,4254,p.15 / PDF 23,figure,
adoption,2025,All,all,all,tenure,neither,3,percent,4254,p.15 / PDF 23,figure,
adoption,2025,All,all,all,residence_type,detached_house,77,percent,4282,p.16 / PDF 24,figure,Fig 19; no BEV/PHEV difference
adoption,2025,All,all,all,residence_type,apartment_condominium,13,percent,4282,p.16 / PDF 24,figure,
adoption,2025,All,all,all,residence_type,attached_house,10,percent,4282,p.16 / PDF 24,figure,
adoption,2025,All,all,all,residence_type,other,0.8,percent,4282,p.16 / PDF 24,figure,
adoption,2025,All,dac,inside_dac,residence_type,detached_house,59,percent,4210,p.22 / PDF 30,figure,Fig 29
adoption,2025,All,dac,inside_dac,residence_type,apartment_condominium,24,percent,4210,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,residence_type,attached_house,16,percent,4210,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,residence_type,other,1,percent,4210,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,residence_type,detached_house,79,percent,4210,p.22 / PDF 30,figure,Fig 29
adoption,2025,All,dac,outside_dac,residence_type,apartment_condominium,11,percent,4210,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,residence_type,attached_house,9,percent,4210,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,residence_type,other,0.8,percent,4210,p.22 / PDF 30,figure,
adoption,2025,BEV,all,all,solar_at_residence,installed,19,percent,4350,p.16 / PDF 24,figure,Fig 20
adoption,2025,BEV,all,all,solar_at_residence,considering,31,percent,4350,p.16 / PDF 24,figure,
adoption,2025,BEV,all,all,solar_at_residence,no_plans,50,percent,4350,p.16 / PDF 24,figure,
adoption,2025,PHEV,all,all,solar_at_residence,installed,15,percent,4350,p.16 / PDF 24,figure,Fig 20
adoption,2025,PHEV,all,all,solar_at_residence,considering,23,percent,4350,p.16 / PDF 24,figure,
adoption,2025,PHEV,all,all,solar_at_residence,no_plans,61,percent,4350,p.16 / PDF 24,figure,
adoption,2025,All,all,all,household_income,lt25k,1,percent,3625,p.19 / PDF 27,figure,Fig 24; no BEV/PHEV difference
adoption,2025,All,all,all,household_income,25_50k,4,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,all,all,household_income,50_75k,9,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,all,all,household_income,75_100k,12,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,all,all,household_income,100_150k,23,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,all,all,household_income,150_200k,16,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,all,all,household_income,200_300k,18,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,all,all,household_income,300_400k,7,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,all,all,household_income,ge400k,10,percent,3625,p.19 / PDF 27,figure,
adoption,2025,All,dac,inside_dac,household_income,lt25k,3,percent,3561,p.22 / PDF 30,figure,Fig 28
adoption,2025,All,dac,inside_dac,household_income,25_50k,7,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income,50_75k,14,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income,75_100k,14,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income,100_150k,26,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income,150_200k,15,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income,200_300k,12,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income,300_400k,5,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income,ge400k,4,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,lt25k,1,percent,3561,p.22 / PDF 30,figure,Fig 28
adoption,2025,All,dac,outside_dac,household_income,25_50k,4,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,50_75k,8,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,75_100k,11,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,100_150k,22,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,150_200k,16,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,200_300k,19,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,300_400k,7,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,outside_dac,household_income,ge400k,11,percent,3561,p.22 / PDF 30,figure,
adoption,2025,All,dac,inside_dac,household_income_lt_150k,share,64,percent,,p.21 / PDF 29,text,
adoption,2025,All,dac,outside_dac,household_income_lt_150k,share,47,percent,,p.21 / PDF 29,text,
adoption,2025,All,all,all,dac_share_of_respondents,inside_dac,14,percent,,p.20 / PDF 28,text,
adoption,2025,All,all,all,dac_share_of_participants,inside_dac,16,percent,37283,p.20 / PDF 28,text,
adoption,2025,BEV,all,all,vehicle_replacement_status,replaces_household_car,79,percent,4335,p.4 / PDF 12,figure,Fig 2
adoption,2025,BEV,all,all,vehicle_replacement_status,adds_to_fleet,16,percent,4335,p.4 / PDF 12,figure,
adoption,2025,BEV,all,all,vehicle_replacement_status,first_or_only_car,5,percent,4335,p.4 / PDF 12,figure,
adoption,2025,PHEV,all,all,vehicle_replacement_status,replaces_household_car,90,percent,4335,p.4 / PDF 12,figure,Fig 2
adoption,2025,PHEV,all,all,vehicle_replacement_status,adds_to_fleet,7,percent,4335,p.4 / PDF 12,figure,
adoption,2025,PHEV,all,all,vehicle_replacement_status,first_or_only_car,3,percent,4335,p.4 / PDF 12,figure,
adoption,2025,All,all,all,vehicle_replacement_status,replaces_household_car,82,percent,4335,p.3 / PDF 11,text,overall; adds_to_fleet overall 14%
adoption,2025,All,dac,inside_dac,vehicle_replacement_status,replaces_household_car,75,percent,4260,p.23 / PDF 31,figure,Fig 30
adoption,2025,All,dac,inside_dac,vehicle_replacement_status,adds_to_fleet,14,percent,4260,p.23 / PDF 31,figure,
adoption,2025,All,dac,inside_dac,vehicle_replacement_status,first_or_only_car,11,percent,4260,p.23 / PDF 31,figure,
adoption,2025,All,dac,outside_dac,vehicle_replacement_status,replaces_household_car,83,percent,4260,p.23 / PDF 31,figure,Fig 30
adoption,2025,All,dac,outside_dac,vehicle_replacement_status,adds_to_fleet,14,percent,4260,p.23 / PDF 31,figure,
adoption,2025,All,dac,outside_dac,vehicle_replacement_status,first_or_only_car,3,percent,4260,p.23 / PDF 31,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,gasoline,56,percent,3559,p.5 / PDF 13,figure,Fig 3; base = replacers
adoption,2025,BEV,all,all,replaced_vehicle_fuel,bev,34,percent,3559,p.5 / PDF 13,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,conventional_hybrid,5,percent,3559,p.5 / PDF 13,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,phev,4,percent,3559,p.5 / PDF 13,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,diesel,0.3,percent,3559,p.5 / PDF 13,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,flex_fuel,0.2,percent,3559,p.5 / PDF 13,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,fcev,0.1,percent,3559,p.5 / PDF 13,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,other,0.1,percent,3559,p.5 / PDF 13,figure,
adoption,2025,BEV,all,all,replaced_vehicle_fuel,cng,0,percent,3559,p.5 / PDF 13,figure,
adoption,2025,PHEV,all,all,replaced_vehicle_fuel,gasoline,53,percent,3559,p.5 / PDF 13,figure,Fig 3
adoption,2025,PHEV,all,all,replaced_vehicle_fuel,bev,4,percent,3559,p.5 / PDF 13,figure,
adoption,2025,PHEV,all,all,replaced_vehicle_fuel,conventional_hybrid,11,percent,3559,p.5 / PDF 13,figure,
